timestamp,cpu_percent,mem_usage,mem_limit,net_rx,net_tx,block_read,block_write
2025-08-30T17:59:35.625169,0.0,1445888,8177139712,1110144,454270,0,0
2025-08-30T17:59:36.628864,0.01,1572864,8177139712,1131816,463020,0,0
2025-08-30T17:59:37.631132,0.02,1466368,8177139712,1156852,485652,0,0
2025-08-30T17:59:38.632304,0.01,1458176,8177139712,1181724,509204,0,0
2025-08-30T17:59:39.631221,0.02,1589248,8177139712,1205094,531510,0,0
2025-08-30T17:59:40.629605,0.01,1712128,8177139712,1230754,555706,0,0
2025-08-30T17:59:41.627220,0.02,1712128,8177139712,1254582,578234,0,0
2025-08-30T17:59:42.624366,0.01,1712128,8177139712,1279808,601650,0,0
2025-08-30T17:59:43.619394,0.01,1708032,8177139712,1303166,624014,0,0
2025-08-30T17:59:44.614144,0.01,1695744,8177139712,1328108,647702,0,0
2025-08-30T17:59:45.607930,0.01,1593344,8177139712,1350188,668842,0,0
2025-08-30T17:59:46.601548,0.02,1589248,8177139712,1375945,692911,0,0
2025-08-30T17:59:47.593819,0.01,1585152,8177139712,1399722,714898,0,0
2025-08-30T17:59:59.595673,0.0,1785856,8177139712,238,42,0,0
2025-08-30T18:00:00.509409,0.0,1777664,8177139712,740,84,0,0
2025-08-30T18:00:01.525442,0.0,1622016,8177139712,872,126,0,0
2025-08-30T18:00:02.538484,0.0,1748992,8177139712,1228,308,0,0
2025-08-30T18:00:03.546653,0.01,1613824,8177139712,24340,20843,0,0
2025-08-30T18:00:04.553145,0.02,1597440,8177139712,51025,47144,0,0
2025-08-30T18:00:05.557309,0.01,1597440,8177139712,75281,69680,0,0
2025-08-30T18:00:06.559016,0.02,1589248,8177139712,99758,92724,0,0
2025-08-30T18:00:07.559496,0.02,1142784,8177139712,125149,116340,0,0
2025-08-30T18:00:08.559471,0.02,1245184,8177139712,150234,139623,0,0
2025-08-30T18:00:09.557880,0.01,1245184,8177139712,173790,161751,0,0
2025-08-30T18:00:10.554630,0.01,1372160,8177139712,199403,185854,0,0
2025-08-30T18:00:11.551431,0.02,1249280,8177139712,222167,207496,0,0
2025-08-30T18:00:12.547244,0.02,1249280,8177139712,249059,231852,0,0
2025-08-30T18:00:13.541677,0.01,1249280,8177139712,272879,254216,0,0
2025-08-30T18:00:14.535534,0.01,1245184,8177139712,297700,277479,0,0
2025-08-30T18:00:15.528674,0.01,1245184,8177139712,320728,299223,0,0
2025-08-30T18:00:16.520979,0.01,1241088,8177139712,346077,322996,0,0
2025-08-30T18:00:17.513334,0.01,1241088,8177139712,370398,345231,0,0
2025-08-30T18:00:18.506026,0.01,1241088,8177139712,396143,369470,0,0
2025-08-30T18:00:19.496772,0.02,1241088,8177139712,419171,391178,0,0
2025-08-30T18:00:20.487050,0.02,1372160,8177139712,445378,415797,0,0
2025-08-30T18:00:27.635660,0.0,1830912,8177139712,618,224,0,0
2025-08-30T18:00:28.562055,0.0,1830912,8177139712,1210,547,0,0
2025-08-30T18:00:29.568547,0.0,1548288,8177139712,1964,729,0,0
2025-08-30T18:00:30.584949,0.0,1548288,8177139712,1964,729,0,0
2025-08-30T18:00:31.602889,0.01,1560576,8177139712,2236,869,0,0
2025-08-30T18:00:32.613410,0.0,1560576,8177139712,2236,869,0,0
2025-08-30T18:00:33.621772,0.0,1560576,8177139712,2508,1009,0,0
2025-08-30T18:00:34.627054,0.0,1449984,8177139712,2508,1009,0,0
2025-08-30T18:00:35.630689,0.0,1449984,8177139712,2780,1149,0,0
2025-08-30T18:00:36.635022,0.01,1548288,8177139712,14000,11307,0,0
2025-08-30T18:00:37.635163,0.02,1171456,8177139712,38850,34149,0,0
2025-08-30T18:00:38.635099,0.02,1163264,8177139712,63795,57576,0,0
2025-08-30T18:00:39.633807,0.02,1150976,8177139712,87557,80282,0,0
2025-08-30T18:00:40.634274,0.01,1138688,8177139712,112898,104237,0,0
2025-08-30T18:00:41.632010,0.02,1126400,8177139712,136726,126613,0,0
2025-08-30T18:00:42.628043,0.01,1228800,8177139712,162550,150495,0,0
2025-08-30T18:00:43.621938,0.01,1216512,8177139712,186378,172673,0,0
2025-08-30T18:00:44.617974,0.02,1204224,8177139712,211521,196364,0,0
2025-08-30T18:00:45.612902,0.01,1191936,8177139712,234293,217618,0,0
2025-08-30T18:00:46.605319,0.02,1183744,8177139712,259436,241309,0,0
2025-08-30T18:00:47.597435,0.02,1171456,8177139712,283754,263487,0,0
2025-08-30T18:00:48.589401,0.02,1155072,8177139712,308699,286914,0,0
2025-08-30T18:00:49.581401,0.02,1142784,8177139712,332791,309356,0,0
2025-08-30T18:00:50.573910,0.01,1093632,8177139712,357802,333113,0,0
2025-08-30T18:00:51.565264,0.02,1081344,8177139712,381036,354895,0,0
2025-08-30T18:00:52.558226,0.01,1204224,8177139712,407795,379316,0,0
2025-08-30T18:00:53.551052,0.02,1191936,8177139712,431425,401560,0,0
2025-08-30T18:00:54.543253,0.02,1179648,8177139712,456766,425317,0,0
2025-08-30T18:00:55.533752,0.01,1302528,8177139712,480528,447495,0,0
2025-08-30T18:00:56.523615,0.02,1171456,8177139712,505011,470394,0,0
2025-08-30T18:00:57.514013,0.02,1159168,8177139712,528529,491970,0,0
2025-08-30T18:00:58.505067,0.02,1290240,8177139712,554010,516065,0,0
2025-08-30T18:00:59.511857,0.02,1204224,8177139712,577104,538037,0,0
2025-08-30T18:01:00.528980,0.02,1318912,8177139712,602915,562264,0,0
2025-08-30T18:01:01.545210,0.02,1314816,8177139712,626603,584632,0,0
2025-08-30T18:01:02.557194,0.02,1302528,8177139712,652710,608731,0,0
2025-08-30T18:01:03.566812,0.01,1294336,8177139712,675606,630505,0,0
2025-08-30T18:01:04.572435,0.02,1286144,8177139712,700625,654270,0,0
2025-08-30T18:01:05.576141,0.02,1269760,8177139712,724181,676572,0,0
2025-08-30T18:01:06.578418,0.02,1257472,8177139712,750124,700931,0,0
2025-08-30T18:01:07.578846,0.01,1273856,8177139712,774830,723167,0,0
2025-08-30T18:01:08.577660,0.02,1396736,8177139712,798925,746140,0,0
2025-08-30T18:01:09.575506,0.02,1384448,8177139712,822571,768794,0,0
2025-08-30T18:01:10.571844,0.02,1556480,8177139712,847590,792559,0,0
2025-08-30T18:01:11.570154,0.01,1552384,8177139712,870948,814531,0,0
2025-08-30T18:01:12.567180,0.02,1568768,8177139712,897583,838894,0,0
2025-08-30T18:01:13.564795,0.02,1683456,8177139712,920941,861196,0,0
2025-08-30T18:01:14.557669,0.03,1679360,8177139712,946356,885555,0,0
2025-08-30T18:01:15.552085,0.01,1425408,8177139712,969714,907659,0,0
2025-08-30T18:01:16.544595,0.02,1417216,8177139712,995063,931424,0,0
2025-08-30T18:01:17.539299,0.03,1310720,8177139712,1019175,953726,0,0
2025-08-30T18:01:18.530797,0.03,1298432,8177139712,1044920,977755,0,0
2025-08-30T18:01:19.527018,0.01,1286144,8177139712,1068410,1000255,0,0
2025-08-30T18:01:20.518383,0.02,1265664,8177139712,1094221,1024416,0,0
2025-08-30T18:01:21.514370,0.02,1171456,8177139712,1117051,1046388,0,0
2025-08-30T18:01:22.506273,0.04,1167360,8177139712,1143884,1070751,0,0
2025-08-30T18:01:23.501692,0.02,1155072,8177139712,1167242,1092855,0,0
2025-08-30T18:01:24.495570,0.03,1142784,8177139712,1192657,1116752,0,0
2025-08-30T18:01:25.488892,0.02,1130496,8177139712,1215817,1138658,0,0
2025-08-30T18:01:26.479900,0.03,1118208,8177139712,1241364,1162555,0,0
2025-08-30T18:01:27.469867,0.02,1114112,8177139712,1265806,1185055,0,0
2025-08-30T18:01:28.464195,0.04,1232896,8177139712,1290891,1208490,0,0
2025-08-30T18:01:29.469559,0.02,1327104,8177139712,1314581,1231124,0,0
2025-08-30T18:01:30.488106,0.03,1576960,8177139712,1340194,1255219,0,0
2025-08-30T18:01:31.503794,0.03,1581056,8177139712,1363420,1277455,0,0
2025-08-30T18:01:32.517082,0.03,1568768,8177139712,1389721,1301682,0,0
