timestamp,cpu_percent,mem_usage,mem_limit,net_rx,net_tx,block_read,block_write
2025-10-07T20:22:01.044489,0.0,2359296,8177143808,8928389,3628897,0,0
2025-10-07T20:22:02.040264,0.04,2150400,8177143808,9031540,3731784,0,0
2025-10-07T20:22:03.049495,0.04,2179072,8177143808,9130355,3831127,0,0
2025-10-07T20:22:04.057588,0.03,2334720,8177143808,9232426,3933000,0,0
2025-10-07T20:22:05.064107,0.05,2293760,8177143808,9372314,4073086,0,0
2025-10-07T20:22:06.069298,0.04,2318336,8177143808,9473712,4174748,0,0
2025-10-07T20:22:07.073027,0.03,2379776,8177143808,9573294,4274066,0,0
2025-10-07T20:22:08.074710,0.03,2375680,8177143808,9675695,4376071,0,0
2025-10-07T20:22:09.078802,0.04,2314240,8177143808,9777320,4478554,0,0
2025-10-07T20:22:10.081292,0.52,2629632,8177143808,12099714,5558272,0,0
2025-10-07T20:22:11.082654,0.04,2560000,8177143808,12203835,5661865,0,0
2025-10-07T20:22:12.081968,0.04,2457600,8177143808,12304550,5762250,0,0
2025-10-07T20:22:13.080855,0.03,2428928,8177143808,12401211,5859175,0,0
2025-10-07T20:22:14.079584,0.04,2330624,8177143808,12502820,5959596,0,0
2025-10-07T20:22:15.078259,0.06,2338816,8177143808,12645369,6101947,0,0
2025-10-07T20:22:16.074896,0.04,2363392,8177143808,12744599,6201111,0,0
2025-10-07T20:22:17.073269,0.04,2396160,8177143808,12846691,6302675,0,0
2025-10-07T20:22:18.069888,0.03,2293760,8177143808,12947891,6403413,0,0
2025-10-07T20:22:19.068728,0.04,2433024,8177143808,13050316,6505442,0,0
2025-10-07T20:22:20.067556,0.9,3084288,8177143808,16496474,8142048,0,0
2025-10-07T20:22:21.065981,0.14,2703360,8177143808,16657545,8574647,0,0
2025-10-07T20:22:22.063487,0.04,2584576,8177143808,16759484,8676058,0,0
2025-10-07T20:22:23.059360,0.03,2547712,8177143808,16862223,8778335,0,0
2025-10-07T20:22:24.057130,0.03,2560000,8177143808,16963528,8879442,0,0
2025-10-07T20:22:25.052876,0.06,2609152,8177143808,17105885,9021007,0,0
2025-10-07T20:22:26.052664,0.03,2605056,8177143808,17207671,9122595,0,0
2025-10-07T20:22:27.049550,0.04,2240512,8177143808,17308293,9222425,0,0
2025-10-07T20:22:28.044351,0.04,2256896,8177143808,17409796,9323730,0,0
2025-10-07T20:22:29.040248,0.04,2203648,8177143808,17512679,9426349,0,0
2025-10-07T20:22:30.038687,0.55,2306048,8177143808,19828406,10511955,0,0
2025-10-07T20:22:31.035208,0.04,2416640,8177143808,19928981,10611672,0,0
2025-10-07T20:22:32.031614,0.03,2453504,8177143808,20007315,10689544,0,0
2025-10-07T20:22:33.041407,0.04,2490368,8177143808,20107962,10790257,0,0
2025-10-07T20:22:34.046954,0.03,2396160,8177143808,20210165,10892196,0,0
2025-10-07T20:22:35.053284,0.05,2383872,8177143808,20355036,11036143,0,0
2025-10-07T20:22:36.056377,0.03,2400256,8177143808,20457738,11138317,0,0
2025-10-07T20:22:37.058962,0.04,2285568,8177143808,20560021,11239940,0,0
2025-10-07T20:22:38.060064,0.04,2224128,8177143808,20661893,11341944,0,0
2025-10-07T20:22:39.060976,0.03,2387968,8177143808,20758612,11437739,0,0
2025-10-07T20:22:40.062708,0.81,3293184,8177143808,24220199,13118314,0,0
2025-10-07T20:22:41.065169,0.1,2699264,8177143808,24352959,13382550,0,0
2025-10-07T20:22:42.063852,0.03,2715648,8177143808,24454594,13483921,0,0
2025-10-07T20:22:43.063818,0.04,2670592,8177143808,24556822,13584961,0,0
2025-10-07T20:22:44.063155,0.03,2682880,8177143808,24659657,13688060,0,0
2025-10-07T20:22:45.060676,0.05,2543616,8177143808,24799641,13827516,0,0
2025-10-07T20:22:46.062863,0.04,2711552,8177143808,24901488,13928967,0,0
2025-10-07T20:22:47.060177,0.05,2617344,8177143808,25001397,14028414,0,0
2025-10-07T20:22:48.055814,0.04,2510848,8177143808,25102232,14128325,0,0
2025-10-07T20:22:49.053767,0.04,2400256,8177143808,25204503,14229870,0,0
2025-10-07T20:22:50.053241,0.65,2514944,8177143808,27523908,15366484,0,0
