timestamp,cpu_percent,mem_usage,mem_limit,net_rx,net_tx,block_read,block_write
2025-08-20T18:12:09.244545,0.0,5931008,8177139712,386232,444521,0,0
2025-08-20T18:12:10.237242,0.15,6578176,8177139712,408278,470079,0,0
2025-08-20T18:12:11.238028,0.14,6832128,8177139712,432284,497795,0,0
2025-08-20T18:12:12.229472,0.14,6795264,8177139712,454264,523221,0,0
2025-08-20T18:12:13.220269,0.17,6811648,8177139712,479282,551135,0,0
2025-08-20T18:12:14.209345,0.13,7045120,8177139712,501526,576693,0,0
2025-08-20T18:12:15.200119,0.13,6914048,8177139712,525664,604343,0,0
2025-08-20T18:12:16.196083,0.12,6651904,8177139712,548304,629769,0,0
2025-08-20T18:12:17.183422,0.14,6705152,8177139712,572640,657485,0,0
2025-08-20T18:12:18.171213,0.15,6959104,8177139712,595566,683241,0,0
2025-08-20T18:12:19.165487,0.15,6955008,8177139712,619638,710891,0,0
2025-08-20T18:12:20.154459,0.14,6791168,8177139712,642476,736383,0,0
2025-08-20T18:12:21.145889,0.13,6787072,8177139712,666812,764099,0,0
2025-08-20T18:12:22.134687,0.16,6901760,8177139712,689320,789591,0,0
2025-08-20T18:12:23.122024,0.15,6905856,8177139712,714734,817439,0,0
2025-08-20T18:12:24.111731,0.13,6918144,8177139712,736978,842799,0,0
2025-08-20T18:12:25.101332,0.13,6258688,8177139712,761116,870317,0,0
2025-08-20T18:12:26.131246,0.12,6742016,8177139712,783888,895809,0,0
2025-08-20T18:12:27.156910,0.12,6619136,8177139712,808422,923525,0,0
2025-08-20T18:12:28.178713,0.17,6590464,8177139712,834452,951508,0,0
2025-08-20T18:12:29.192248,0.19,6975488,8177139712,864250,981500,0,0
2025-08-20T18:12:30.202919,0.18,7188480,8177139712,887878,1011983,0,0
2025-08-20T18:12:31.210639,0.11,6934528,8177139712,910888,1033888,0,0
2025-08-20T18:12:32.217403,0.16,6799360,8177139712,933540,1059948,0,0
2025-08-20T18:12:33.221135,0.2,7139328,8177139712,960000,1092709,0,0
2025-08-20T18:12:34.223206,0.15,6868992,8177139712,982310,1118003,0,0
2025-08-20T18:12:35.220615,0.16,6631424,8177139712,1006657,1145598,0,0
2025-08-20T18:12:36.218043,0.13,7008256,8177139712,1028967,1171024,0,0
2025-08-20T18:12:37.213695,0.16,6746112,8177139712,1053567,1198674,0,0
2025-08-20T18:12:38.207930,0.17,6516736,8177139712,1076757,1224298,0,0
2025-08-20T18:12:39.201513,0.14,6676480,8177139712,1101889,1252014,0,0
2025-08-20T18:12:40.195375,0.14,6639616,8177139712,1124657,1277440,0,0
2025-08-20T18:12:41.187182,0.14,6897664,8177139712,1149059,1304958,0,0
2025-08-20T18:12:42.179042,0.14,6774784,8177139712,1171155,1330384,0,0
2025-08-20T18:12:43.169141,0.15,6864896,8177139712,1196589,1358232,0,0
2025-08-20T18:12:44.157979,0.12,6979584,8177139712,1218763,1383526,0,0
2025-08-20T18:12:45.150084,0.15,6848512,8177139712,1242637,1411176,0,0
2025-08-20T18:12:46.135511,0.17,6705152,8177139712,1265343,1436668,0,0
2025-08-20T18:12:47.121619,0.16,6578176,8177139712,1289877,1464318,0,0
2025-08-20T18:12:48.109310,0.15,6918144,8177139712,1313595,1489942,0,0
2025-08-20T18:12:49.096511,0.17,6938624,8177139712,1337931,1517592,0,0
2025-08-20T18:12:50.085134,0.13,6836224,8177139712,1360839,1543018,0,0
2025-08-20T18:12:51.071947,0.14,7184384,8177139712,1385237,1570602,0,0
2025-08-20T18:12:52.061500,0.16,6885376,8177139712,1408211,1595962,0,0
2025-08-20T18:12:53.047765,0.17,6995968,8177139712,1433621,1623678,0,0
2025-08-20T18:12:54.033812,0.18,7028736,8177139712,1455931,1649104,0,0
2025-08-20T18:12:55.021226,0.15,6897664,8177139712,1480263,1676754,0,0
2025-08-20T18:12:56.051820,0.18,6762496,8177139712,1503167,1702312,0,0
2025-08-20T18:12:57.076660,0.16,6770688,8177139712,1527775,1729962,0,0
2025-08-20T18:12:58.096280,0.14,6729728,8177139712,1550693,1755190,0,0
2025-08-20T18:12:59.111583,0.19,6848512,8177139712,1576357,1782840,0,0
2025-08-20T18:13:00.123058,0.15,6590464,8177139712,1598861,1808266,0,0
2025-08-20T18:13:01.131686,0.15,6561792,8177139712,1623729,1835916,0,0
2025-08-20T18:13:02.138830,0.18,6729728,8177139712,1646299,1861276,0,0
2025-08-20T18:13:03.142753,0.18,6848512,8177139712,1671581,1889190,0,0
2025-08-20T18:13:04.143031,0.13,6594560,8177139712,1694287,1914748,0,0
2025-08-20T18:13:05.141782,0.16,6598656,8177139712,1718557,1942464,0,0
2025-08-20T18:13:06.138896,0.15,6598656,8177139712,1741065,1967956,0,0
2025-08-20T18:13:07.135059,0.2,6963200,8177139712,1765731,1995672,0,0
2025-08-20T18:13:08.129609,0.16,7081984,8177139712,1789519,2021164,0,0
2025-08-20T18:13:09.125829,0.16,6627328,8177139712,1814379,2048880,0,0
2025-08-20T18:13:10.117990,0.12,7008256,8177139712,1836689,2074306,0,0
2025-08-20T18:13:11.111359,0.14,6848512,8177139712,1861355,2102220,0,0
2025-08-20T18:13:12.103313,0.18,6705152,8177139712,1884061,2127778,0,0
2025-08-20T18:13:13.097507,0.15,6967296,8177139712,1909347,2155692,0,0
2025-08-20T18:13:14.085898,0.19,7094272,8177139712,1931917,2181052,0,0
2025-08-20T18:13:15.074210,0.18,6807552,8177139712,1956583,2208966,0,0
2025-08-20T18:13:16.062423,0.15,6922240,8177139712,1979091,2234656,0,0
2025-08-20T18:13:17.049975,0.17,6901760,8177139712,2003629,2262372,0,0
