timestamp,cpu_percent,mem_usage,mem_limit,net_rx,net_tx,block_read,block_write
2025-09-28T16:58:28.486544,0.0,243384320,8177139712,14075250,3930449,0,0
2025-09-28T16:58:29.468589,0.09,243654656,8177139712,14166970,3966722,0,0
2025-09-28T16:58:30.450472,0.08,243331072,8177139712,14287037,3993327,0,0
2025-09-28T16:58:31.433136,0.05,243355648,8177139712,14366804,4034193,0,0
2025-09-28T16:58:32.419424,0.06,243240960,8177139712,14451069,4072847,0,0
2025-09-28T16:58:33.399682,0.08,243372032,8177139712,14542983,4102208,0,0
2025-09-28T16:58:34.381417,0.11,243445760,8177139712,14624043,4140396,0,0
2025-09-28T16:58:35.362379,0.79,243351552,8177139712,16773422,4627489,0,0
2025-09-28T16:58:36.342782,0.07,243466240,8177139712,16859991,4678656,0,0
2025-09-28T16:58:37.322953,0.06,243601408,8177139712,16963937,4722404,0,0
2025-09-28T16:58:38.315141,0.06,243732480,8177139712,17050520,4758949,0,0
2025-09-28T16:58:39.334073,0.13,243732480,8177139712,17136325,4794190,0,0
2025-09-28T16:58:40.347953,0.08,243896320,8177139712,17244422,4837437,0,0
2025-09-28T16:58:41.359807,0.05,244035584,8177139712,17336498,4873848,0,0
2025-09-28T16:58:42.366002,0.07,244166656,8177139712,17423361,4909919,0,0
2025-09-28T16:58:43.367985,0.07,244199424,8177139712,17515257,4947550,0,0
2025-09-28T16:58:44.367377,0.15,244277248,8177139712,17595827,4983079,0,0
2025-09-28T16:58:45.363116,0.97,244531200,8177139712,20801047,5745363,0,0
2025-09-28T16:58:46.357274,0.06,244355072,8177139712,20905259,5784320,0,0
2025-09-28T16:58:47.350522,0.05,244334592,8177139712,20975816,5815965,0,0
2025-09-28T16:58:48.342715,0.04,244334592,8177139712,21044013,5827985,0,0
2025-09-28T16:58:49.337188,0.1,244465664,8177139712,21107270,5863168,0,0
2025-09-28T16:58:50.325072,0.07,244445184,8177139712,21226488,5908293,0,0
2025-09-28T16:58:51.313358,0.05,244338688,8177139712,21311601,5944664,0,0
2025-09-28T16:58:52.305918,0.07,244338688,8177139712,21397722,5980573,0,0
2025-09-28T16:58:53.293729,0.05,244334592,8177139712,21484760,6018066,0,0
2025-09-28T16:58:54.276408,0.13,244482048,8177139712,21594660,6061836,0,0
2025-09-28T16:58:55.262880,0.66,245063680,8177139712,23717768,6533060,0,0
2025-09-28T16:58:56.244274,0.05,245063680,8177139712,23804223,6570487,0,0
2025-09-28T16:58:57.235745,0.05,244957184,8177139712,23889886,6607320,0,0
2025-09-28T16:58:58.217790,0.06,244957184,8177139712,23975965,6642833,0,0
2025-09-28T16:58:59.199214,0.09,245047296,8177139712,24062796,6678742,0,0
2025-09-28T16:59:00.183860,0.09,245288960,8177139712,24183683,6725121,0,0
2025-09-28T16:59:01.166468,0.05,245321728,8177139712,24270953,6762086,0,0
2025-09-28T16:59:02.157357,0.07,245321728,8177139712,24357320,6799323,0,0
2025-09-28T16:59:03.154185,0.05,245194752,8177139712,24443310,6835430,0,0
2025-09-28T16:59:04.135003,0.18,245334016,8177139712,24693969,6922682,0,0
2025-09-28T16:59:05.115873,0.61,245727232,8177139712,26406774,7344071,0,0
2025-09-28T16:59:06.100941,0.54,245968896,8177139712,27812998,7624266,0,0
2025-09-28T16:59:07.086577,0.07,245764096,8177139712,27899108,7660043,0,0
2025-09-28T16:59:08.073369,0.07,246120448,8177139712,27985385,7696018,0,0
2025-09-28T16:59:09.092247,0.12,246018048,8177139712,28072738,7732983,0,0
2025-09-28T16:59:10.109616,0.07,246149120,8177139712,28193732,7778372,0,0
2025-09-28T16:59:11.120318,0.07,246034432,8177139712,28279527,7814545,0,0
2025-09-28T16:59:12.129366,0.07,246165504,8177139712,28366088,7851444,0,0
2025-09-28T16:59:13.134973,0.06,245813248,8177139712,28452883,7888409,0,0
2025-09-28T16:59:14.136591,0.18,245903360,8177139712,28726193,8018158,0,0
2025-09-28T16:59:15.134196,0.66,245809152,8177139712,30693806,8421163,0,0
2025-09-28T16:59:16.131218,0.08,245940224,8177139712,30780499,8458272,0,0
2025-09-28T16:59:17.126545,0.07,245940224,8177139712,30867126,8495435,0,0
2025-09-28T16:59:18.121899,0.06,245940224,8177139712,30954545,8532070,0,0
2025-09-28T16:59:19.112479,0.08,245944320,8177139712,31040649,8568507,0,0
2025-09-28T16:59:20.103974,0.07,246190080,8177139712,31161607,8614836,0,0
2025-09-28T16:59:21.094480,0.07,246259712,8177139712,31248392,8652065,0,0
2025-09-28T16:59:22.085895,0.07,246181888,8177139712,31332006,8685004,0,0
2025-09-28T16:59:23.072382,0.07,246329344,8177139712,31418303,8721045,0,0
2025-09-28T16:59:24.059728,0.21,245952512,8177139712,31998955,8898611,0,0
2025-09-28T16:59:25.045140,0.9,246218752,8177139712,34703009,9487174,0,0
2025-09-28T16:59:26.028364,0.06,246349824,8177139712,34788511,9521763,0,0
2025-09-28T16:59:27.018038,0.06,246226944,8177139712,34875612,9558926,0,0
2025-09-28T16:59:27.998438,0.05,246358016,8177139712,34961333,9594703,0,0
2025-09-28T16:59:28.982079,0.09,246358016,8177139712,35047162,9629490,0,0
2025-09-28T16:59:29.963548,0.08,245866496,8177139712,35168345,9676499,0,0
2025-09-28T16:59:30.946578,0.08,246018048,8177139712,35255500,9713794,0,0
2025-09-28T16:59:31.929756,0.07,246145024,8177139712,35340675,9750099,0,0
2025-09-28T16:59:32.912390,0.11,246407168,8177139712,35427368,9786536,0,0
